G_Date,G_Q,G_cd,L_Date,L_Q,L_cd ,VG_Date,VG_Q,VG_cd,WOB_Date,WOB_Q,WOB_cd
1/1/2023,4.87,A ,1/1/2023,89.6,A:e ,1/1/2023,38,A:e ,1/1/2023,5.59,A 
1/1/2023,4.87,A ,1/1/2023,89.5,A:e ,1/1/2023,37.6,A:e ,1/1/2023,5.59,A 
1/1/2023,5.2,A ,1/2/2023,89.3,A:e ,1/2/2023,37.2,A:e ,1/1/2023,5.59,A 
1/1/2023,5.37,A ,1/2/2023,89.1,A:e ,1/2/2023,37,A:e ,1/1/2023,6.08,A 
1/1/2023,5.37,A ,1/3/2023,88.4,A:e ,1/3/2023,36.7,A:e ,1/1/2023,6.08,A 
1/1/2023,5.55,A ,1/3/2023,88.4,A:e ,1/3/2023,36.5,A:e ,1/1/2023,6.08,A 
1/1/2023,5.91,A ,1/4/2023,87.6,A:e ,1/4/2023,36.3,A:e ,1/1/2023,6.08,A 
1/1/2023,6.09,A ,1/4/2023,87.1,A:e ,1/4/2023,36,A:e ,1/1/2023,6.08,A 
1/1/2023,6.29,A ,1/5/2023,86.1,A:e ,1/5/2023,35.8,A:e ,1/1/2023,6.08,A 
1/1/2023,6.48,A ,1/5/2023,85.5,A:e ,1/5/2023,35.5,A:e ,1/1/2023,6.58,A 
1/1/2023,7.1,A ,1/6/2023,83.4,A:e ,1/6/2023,35.3,A:e ,1/1/2023,6.58,A 
1/1/2023,7.31,A ,1/6/2023,80.3,A:e ,1/6/2023,34.9,A:e ,1/1/2023,6.58,A 
1/1/2023,7.99,A ,1/7/2023,78.3,A:e ,1/7/2023,34.5,A:e ,1/1/2023,7.1,A 
1/1/2023,8.71,A ,1/7/2023,77.9,A:e ,1/7/2023,34.1,A:e ,1/1/2023,7.63,A 
1/1/2023,9.74,A ,1/8/2023,77.4,A:e ,1/8/2023,33.8,A:e ,1/1/2023,7.63,A 
1/1/2023,10.9,A ,1/8/2023,76.8,A:e ,1/8/2023,33.4,A:e ,1/1/2023,8.19,A 
1/1/2023,12.1,A ,1/9/2023,76.6,A:e ,1/9/2023,33,A:e ,1/1/2023,8.76,A 
1/1/2023,13.4,A ,1/9/2023,76.1,A:e ,1/9/2023,32.6,A:e ,1/1/2023,9.96,A 
1/1/2023,14.9,A ,1/10/2023,75.5,A:e ,1/10/2023,32.3,A:e ,1/1/2023,11.2,A 
1/1/2023,16.8,A ,1/10/2023,75,A:e ,1/10/2023,32.1,A:e ,1/1/2023,12.6,A 
1/1/2023,18.5,A ,1/11/2023,74.5,A:e ,1/11/2023,31.8,A:e ,1/1/2023,14.7,A 
1/1/2023,20.8,A ,1/11/2023,74.3,A:e ,1/11/2023,31.5,A:e ,1/1/2023,17,A 
1/1/2023,22.3,A ,1/12/2023,74.1,A:e ,1/12/2023,31.3,A:e ,1/1/2023,20.3,A 
1/1/2023,24.4,A ,1/12/2023,73.7,A:e ,1/12/2023,31,A:e ,1/1/2023,23,A 
1/1/2023,26.6,A ,1/13/2023,73.3,A:e ,1/13/2023,30.7,A:e ,1/1/2023,26.8,A 
1/1/2023,29,A ,1/13/2023,73.1,A:e ,1/13/2023,30.5,A:e ,1/1/2023,29.8,A 
1/1/2023,31.6,A ,1/14/2023,73.1,A:e ,1/14/2023,30.2,A:e ,1/1/2023,33,A 
1/1/2023,33.6,A ,1/14/2023,73,A:e ,1/14/2023,29.9,A:e ,1/1/2023,36.3,A 
1/1/2023,35,A ,1/15/2023,72.8,A:e ,1/15/2023,29.5,A:e ,1/1/2023,40.8,A 
