datetime,Q_cfs
2023-01-01,37.8
2023-01-02,37.2
2023-01-03,36.6
2023-01-04,36.2
2023-01-05,35.7
2023-01-06,35.1
2023-01-07,34.4
2023-01-08,33.6
2023-01-09,32.9
2023-01-10,32.2
2023-01-11,31.7
2023-01-12,31.2
2023-01-13,30.6
2023-01-14,30.1
2023-01-15,29.4
2023-01-16,28.9
2023-01-17,28.3
2023-01-18,27.8
2023-01-19,27.3
2023-01-20,27.1
2023-01-21,26.9
2023-01-22,26.7
2023-01-23,26.6
2023-01-24,26.4
2023-01-25,26.1
2023-01-26,25.8
2023-01-27,25.6
2023-01-28,25.3
2023-01-29,25.2
2023-01-30,25
2023-01-31,24.7
2023-02-01,24.3
2023-02-02,23.9
2023-02-03,23.7
2023-02-04,23.5
2023-02-05,23.3
2023-02-06,23.1
2023-02-07,22.9
2023-02-08,22.6
2023-02-09,22.4
2023-02-10,22.2
2023-02-11,22
2023-02-12,21.8
2023-02-13,21.5
2023-02-14,21.2
2023-02-15,21
2023-02-16,20.8
2023-02-17,20.5
2023-02-18,20.2
2023-02-19,19.9
2023-02-20,19.6
2023-02-21,19.4
2023-02-22,19.2
2023-02-23,19
2023-02-24,18.7
2023-02-25,18.4
2023-02-26,18.2
2023-02-27,18
2023-02-28,17.9
2023-03-01,17.7
2023-03-02,17.5
2023-03-03,17.3
2023-03-04,17.2
2023-03-05,16.9
2023-03-06,16.7
2023-03-07,16.5
2023-03-08,16.4
2023-03-09,16.2
2023-03-10,16.1
2023-03-11,15.9
2023-03-12,15.8
2023-03-13,15.8
2023-03-14,15.7
2023-03-15,15.6
2023-03-16,15.5
2023-03-17,15.4
2023-03-18,15.3
2023-03-19,15.2
2023-03-20,15.2
2023-03-21,15.1
2023-03-22,15.1
2023-03-23,15.1
2023-03-24,15.1
2023-03-25,15.1
2023-03-26,15.1
2023-03-27,15.2
2023-03-28,15.3
2023-03-29,15.3
2023-03-30,15.3
2023-03-31,15.3
2023-04-01,15.4
2023-04-02,15.4
2023-04-03,15.4
2023-04-04,15.4
2023-04-05,15.3
2023-04-06,15.3
2023-04-07,15.3
2023-04-08,15.4
2023-04-09,15.4
2023-04-10,15.4
2023-04-11,15.5
2023-04-12,15.6
2023-04-13,15.6
2023-04-14,15.6
2023-04-15,15.7
2023-04-16,15.8
2023-04-17,16.7
2023-04-18,17.7
2023-04-19,19.8
2023-04-20,22.3
2023-04-21,26
2023-04-22,29.5
2023-04-23,31.7
2023-04-24,33.8
2023-04-25,34.8
2023-04-26,35.2
2023-04-27,35.8
2023-04-28,36.8
2023-04-29,37.8
2023-04-30,39.1
2023-05-01,40.4
2023-05-02,43.1
2023-05-03,47.3
2023-05-04,53.7
2023-05-05,62.5
2023-05-06,70.2
2023-05-07,75.5
2023-05-08,84.9
2023-05-09,97.8
2023-05-10,109
2023-05-11,123
2023-05-12,137
2023-05-13,154
2023-05-14,175
2023-05-15,202
2023-05-16,244
2023-05-17,298
2023-05-18,366
2023-05-19,438
2023-05-20,500
2023-05-21,546
2023-05-22,580
2023-05-23,591
2023-05-24,630
2023-05-25,686
2023-05-26,766
2023-05-27,798
2023-05-28,781
2023-05-29,768
2023-05-30,758
2023-05-31,732
2023-06-01,693
2023-06-02,647
2023-06-03,633
2023-06-04,674
2023-06-05,751
