Datetime,Date,Time,BL_P,LL_P,Air_P
7/21/23 12:00,7/21/2023,12:00:00,0.0215,-0.0224,0.0901
7/21/23 12:30,7/21/2023,12:30:00,0.0209,-0.0081,0.1449
7/21/23 13:00,7/21/2023,13:00:00,0.0193,0,0.2253
7/21/23 13:30,7/21/2023,13:30:00,-0.0006,-0.0044,0.1921
7/21/23 14:00,7/21/2023,14:00:00,4.3848,0.0003,0.2055
7/21/23 14:30,7/21/2023,14:30:00,4.3865,0.0029,0.21
7/21/23 15:00,7/21/2023,15:00:00,4.393,0.0069,0.226
7/21/23 15:30,7/21/2023,15:30:00,4.3964,0.0012,0.2382
7/21/23 16:00,7/21/2023,16:00:00,4.3987,-0.0045,0.0267
7/21/23 16:30,7/21/2023,16:30:00,4.3951,-0.001,-0.0397
7/21/23 17:00,7/21/2023,17:00:00,4.3966,0.0063,-0.0403
7/21/23 17:30,7/21/2023,17:30:00,4.3905,3.1037,-0.0382
7/21/23 18:00,7/21/2023,18:00:00,4.3863,3.1047,-0.041
7/21/23 18:30,7/21/2023,18:30:00,4.3787,3.1086,-0.0438
7/21/23 19:00,7/21/2023,19:00:00,4.382,3.1075,-0.0368
7/21/23 19:30,7/21/2023,19:30:00,4.3805,3.1092,-0.0381
7/21/23 20:00,7/21/2023,20:00:00,4.391,3.1062,-0.0246
7/21/23 20:30,7/21/2023,20:30:00,4.391,3.1096,-0.0276
7/21/23 21:00,7/21/2023,21:00:00,4.3921,3.1072,-0.0221
7/21/23 21:30,7/21/2023,21:30:00,4.3914,3.1113,-0.0203
7/21/23 22:00,7/21/2023,22:00:00,4.3914,3.1073,-0.019
7/21/23 22:30,7/21/2023,22:30:00,4.3918,3.1088,-0.0122
7/21/23 23:00,7/21/2023,23:00:00,4.3945,3.1094,-0.0051
7/21/23 23:30,7/21/2023,23:30:00,4.3881,3.1096,-0.0083
7/22/23 0:00,7/22/2023,0:00:00,4.3887,3.1081,-0.0012
7/22/23 0:30,7/22/2023,0:30:00,4.3871,3.1097,-0.0026
7/22/23 1:00,7/22/2023,1:00:00,4.3875,3.1095,0.0017
7/22/23 1:30,7/22/2023,1:30:00,4.3871,3.1058,-0.0001
7/22/23 2:00,7/22/2023,2:00:00,4.3865,3.1045,0.0043
7/22/23 2:30,7/22/2023,2:30:00,4.3793,3.1057,0.0005
7/22/23 3:00,7/22/2023,3:00:00,4.3849,3.1072,0.0061
7/22/23 3:30,7/22/2023,3:30:00,4.3801,3.1086,0.0036
7/22/23 4:00,7/22/2023,4:00:00,4.3803,3.1096,0.0026
7/22/23 4:30,7/22/2023,4:30:00,4.3774,3.1083,0.0029
7/22/23 5:00,7/22/2023,5:00:00,4.376,3.1072,0.0058
7/22/23 5:30,7/22/2023,5:30:00,4.3749,3.1053,0.0052
7/22/23 6:00,7/22/2023,6:00:00,4.3737,3.1028,-0.0002
7/22/23 6:30,7/22/2023,6:30:00,4.3769,3.1064,-0.0038
7/22/23 7:00,7/22/2023,7:00:00,4.3782,3.1041,-0.0029
7/22/23 7:30,7/22/2023,7:30:00,4.3754,3.107,-0.0042
7/22/23 8:00,7/22/2023,8:00:00,4.3747,3.1019,-0.0033
7/22/23 8:30,7/22/2023,8:30:00,4.3703,3.1041,-0.0097
7/22/23 9:00,7/22/2023,9:00:00,4.3719,3.1038,-0.0113
7/22/23 9:30,7/22/2023,9:30:00,4.3704,3.0992,-0.0147
7/22/23 10:00,7/22/2023,10:00:00,4.3692,3.0999,-0.0189
7/22/23 10:30,7/22/2023,10:30:00,4.3722,3.0997,-0.0232
7/22/23 11:00,7/22/2023,11:00:00,4.3681,3.1018,-0.0325
7/22/23 11:30,7/22/2023,11:30:00,4.3715,3.0994,-0.0324
7/22/23 12:00,7/22/2023,12:00:00,4.375,3.1001,-0.0293
7/22/23 12:30,7/22/2023,12:30:00,4.3757,3.0973,-0.0342
7/22/23 13:00,7/22/2023,13:00:00,4.3738,3.0996,-0.0386
7/22/23 13:30,7/22/2023,13:30:00,4.3723,3.1011,-0.0411
7/22/23 14:00,7/22/2023,14:00:00,4.3759,3.0995,-0.0417
7/22/23 14:30,7/22/2023,14:30:00,4.3763,3.1028,-0.0428
7/22/23 15:00,7/22/2023,15:00:00,4.3773,3.1021,-0.0483
7/22/23 15:30,7/22/2023,15:30:00,4.3789,3.1085,-0.0551
7/22/23 16:00,7/22/2023,16:00:00,4.3784,3.1062,-0.0544
7/22/23 16:30,7/22/2023,16:30:00,4.379,3.1057,-0.0561
7/22/23 17:00,7/22/2023,17:00:00,4.3812,3.1095,-0.0609
7/22/23 17:30,7/22/2023,17:30:00,4.3837,3.1064,-0.0611
7/22/23 18:00,7/22/2023,18:00:00,4.3853,3.1103,-0.0638
7/22/23 18:30,7/22/2023,18:30:00,4.38,3.1122,-0.0722
7/22/23 19:00,7/22/2023,19:00:00,4.3825,3.1128,-0.0742
7/22/23 19:30,7/22/2023,19:30:00,4.3789,3.1111,-0.0752
7/22/23 20:00,7/22/2023,20:00:00,4.382,3.1113,-0.0772
7/22/23 20:30,7/22/2023,20:30:00,4.3836,3.1089,-0.0796
7/22/23 21:00,7/22/2023,21:00:00,4.3816,3.1117,-0.0796
7/22/23 21:30,7/22/2023,21:30:00,4.3813,3.1129,-0.0818
7/22/23 22:00,7/22/2023,22:00:00,4.3765,3.1116,-0.0844
7/22/23 22:30,7/22/2023,22:30:00,4.3781,3.1104,-0.0847
7/22/23 23:00,7/22/2023,23:00:00,4.3788,3.109,-0.0834
7/22/23 23:30,7/22/2023,23:30:00,4.3805,3.1105,-0.0832
7/23/23 0:00,7/23/2023,0:00:00,4.3833,3.1066,-0.0786
7/23/23 0:30,7/23/2023,0:30:00,4.3751,3.1105,-0.0847
7/23/23 1:00,7/23/2023,1:00:00,4.3739,3.1077,-0.0795
7/23/23 1:30,7/23/2023,1:30:00,4.3768,3.1093,-0.075
7/23/23 2:00,7/23/2023,2:00:00,4.3754,3.1084,-0.0764
7/23/23 2:30,7/23/2023,2:30:00,4.3735,3.1084,-0.0767
7/23/23 3:00,7/23/2023,3:00:00,4.3716,3.1079,-0.0781
7/23/23 3:30,7/23/2023,3:30:00,4.3686,3.1078,-0.0773
7/23/23 4:00,7/23/2023,4:00:00,4.3678,3.1056,-0.0712
7/23/23 4:30,7/23/2023,4:30:00,4.3657,3.109,-0.0685
7/23/23 5:00,7/23/2023,5:00:00,4.3672,3.1063,-0.0638
7/23/23 5:30,7/23/2023,5:30:00,4.3612,3.107,-0.0584
7/23/23 6:00,7/23/2023,6:00:00,4.3639,3.1057,-0.051
7/23/23 6:30,7/23/2023,6:30:00,4.3675,3.1041,-0.0426
7/23/23 7:00,7/23/2023,7:00:00,4.3665,3.1081,-0.0419
7/23/23 7:30,7/23/2023,7:30:00,4.3633,3.1054,-0.041
7/23/23 8:00,7/23/2023,8:00:00,4.3633,3.1059,-0.0387
7/23/23 8:30,7/23/2023,8:30:00,4.3604,3.099,-0.029
7/23/23 9:00,7/23/2023,9:00:00,4.3652,3.103,-0.0217
7/23/23 9:30,7/23/2023,9:30:00,4.362,3.101,-0.0148
7/23/23 10:00,7/23/2023,10:00:00,4.3636,3.0982,-0.0096
7/23/23 10:30,7/23/2023,10:30:00,4.3638,3.0974,-0.0036
7/23/23 11:00,7/23/2023,11:00:00,4.3526,3.0972,-0.0151
7/23/23 11:30,7/23/2023,11:30:00,4.3557,3.0968,-0.0066
7/23/23 12:00,7/23/2023,12:00:00,4.3601,3.0977,-0.0049
7/23/23 12:30,7/23/2023,12:30:00,4.3615,3.1,-0.003
7/23/23 13:00,7/23/2023,13:00:00,4.3583,3.0972,0.0045
7/23/23 13:30,7/23/2023,13:30:00,4.3639,3.0986,0.0094
7/23/23 14:00,7/23/2023,14:00:00,4.3654,3.0984,0.0099
7/23/23 14:30,7/23/2023,14:30:00,4.3661,3.1002,0.0107
7/23/23 15:00,7/23/2023,15:00:00,4.3621,3.1019,0.0084
7/23/23 15:30,7/23/2023,15:30:00,4.3668,3.1058,0.0127
7/23/23 16:00,7/23/2023,16:00:00,4.3689,3.1045,0.0161
7/23/23 16:30,7/23/2023,16:30:00,4.365,3.1074,0.0097
7/23/23 17:00,7/23/2023,17:00:00,4.369,3.1044,0.0103
7/23/23 17:30,7/23/2023,17:30:00,4.3697,3.108,0.0089
7/23/23 18:00,7/23/2023,18:00:00,4.3664,3.1066,0.0064
7/23/23 18:30,7/23/2023,18:30:00,4.3606,3.1102,-0.001
7/23/23 19:00,7/23/2023,19:00:00,4.3629,3.1085,0.0011
7/23/23 19:30,7/23/2023,19:30:00,4.368,3.1099,0.0036
7/23/23 20:00,7/23/2023,20:00:00,4.3712,3.1037,0.0123
7/23/23 20:30,7/23/2023,20:30:00,4.3752,3.107,0.0171
7/23/23 21:00,7/23/2023,21:00:00,4.3748,3.1061,0.0158
7/23/23 21:30,7/23/2023,21:30:00,4.373,3.1108,0.0172
7/23/23 22:00,7/23/2023,22:00:00,4.3752,3.1092,0.0197
7/23/23 22:30,7/23/2023,22:30:00,4.3733,3.1095,0.0226
7/23/23 23:00,7/23/2023,23:00:00,4.3746,3.1055,0.0305
7/23/23 23:30,7/23/2023,23:30:00,4.373,3.108,0.029
7/24/23 0:00,7/24/2023,0:00:00,4.3655,3.107,0.029
7/24/23 0:30,7/24/2023,0:30:00,4.3697,3.1065,0.038
7/24/23 1:00,7/24/2023,1:00:00,4.3673,3.1062,0.037
7/24/23 1:30,7/24/2023,1:30:00,4.3684,3.1062,0.0457
7/24/23 2:00,7/24/2023,2:00:00,4.3634,3.1064,0.0397
7/24/23 2:30,7/24/2023,2:30:00,4.3628,3.1082,0.0411
7/24/23 3:00,7/24/2023,3:00:00,4.3629,3.1059,0.0482
7/24/23 3:30,7/24/2023,3:30:00,4.3609,3.1077,0.0482
7/24/23 4:00,7/24/2023,4:00:00,4.3638,3.1071,0.0491
7/24/23 4:30,7/24/2023,4:30:00,4.3602,3.1086,0.043
7/24/23 5:00,7/24/2023,5:00:00,4.3575,3.1089,0.0341
7/24/23 5:30,7/24/2023,5:30:00,4.3607,3.108,0.0299
7/24/23 6:00,7/24/2023,6:00:00,4.3562,3.1063,0.0258
7/24/23 6:30,7/24/2023,6:30:00,4.3537,3.1053,0.0217
7/24/23 7:00,7/24/2023,7:00:00,4.3557,3.107,0.0176
7/24/23 7:30,7/24/2023,7:30:00,4.3552,3.1063,0.0203
7/24/23 8:00,7/24/2023,8:00:00,4.3544,3.1058,0.0211
7/24/23 8:30,7/24/2023,8:30:00,4.3594,3.1055,0.0195
7/24/23 9:00,7/24/2023,9:00:00,4.3576,3.1032,0.0161
7/24/23 9:30,7/24/2023,9:30:00,4.3562,3.1093,0.0099
7/24/23 10:00,7/24/2023,10:00:00,4.358,3.107,0.0073
7/24/23 10:30,7/24/2023,10:30:00,4.3529,3.1112,0.0022
7/24/23 11:00,7/24/2023,11:00:00,4.3457,3.1077,-0.0012
7/24/23 11:30,7/24/2023,11:30:00,4.3519,3.1115,-0.0017
7/24/23 12:00,7/24/2023,12:00:00,4.3552,3.1061,0.007
7/24/23 12:30,7/24/2023,12:30:00,4.3525,3.1086,0.0047
7/24/23 13:00,7/24/2023,13:00:00,4.3539,3.1045,0.01
7/24/23 13:30,7/24/2023,13:30:00,4.352,3.1079,0.007
7/24/23 14:00,7/24/2023,14:00:00,4.3555,3.1089,0.008
7/24/23 14:30,7/24/2023,14:30:00,4.3581,3.1046,0.0112
7/24/23 15:00,7/24/2023,15:00:00,4.3601,3.1045,0.011
7/24/23 15:30,7/24/2023,15:30:00,4.3614,3.1078,0.0096
7/24/23 16:00,7/24/2023,16:00:00,4.3654,3.1055,0.0108
7/24/23 16:30,7/24/2023,16:30:00,4.3698,3.1061,0.0135
