site ,YYMMMDD ,Yyyy,MJD ,week ,d ,reflon ,e0_m,east_m,no_m,north_m,u0_m,up_m ,ant_m,sig_e_m,sig_n_m,sig_u_m,corr_en ,corr_eu ,corr_nu ,latitude_deg,longitude_deg ,height_m
CBIA ,23JUL28 ,2023.5702,60153,2272,5,-147.0,1365,0.948446,6788258,0.744812,714,0.340602,0.0000,0.000648,0.000963,0.003057,-0.093903,0.189735,-0.031611,61.2042989543,-146.9745915555,714.34060
CBIA ,23JUL29 ,2023.5729,60154,2272,6,-147.0,1365,0.950190,6788258,0.742177,714,0.345806,0.0000,0.000645,0.000973,0.003077,-0.112195,0.175987,-0.060684,61.2042989306,-146.9745915231,714.34581
CBIA ,23JUL30 ,2023.5756,60155,2273,0,-147.0,1365,0.948143,6788258,0.744428,714,0.344298,0.0000,0.000662,0.000976,0.003122,-0.105070,0.186901,-0.054440,61.2042989508,-146.9745915611,714.34430
CBIA ,23JUL31 ,2023.5784,60156,2273,1,-147.0,1365,0.948096,6788258,0.742520,714,0.344216,0.0000,0.000653,0.000968,0.003076,-0.118319,0.177743,-0.057808,61.2042989337,-146.9745915620,714.34422
CBIA ,23AUG01 ,2023.5811,60157,2273,2,-147.0,1365,0.950340,6788258,0.742538,714,0.350795,0.0000,0.000647,0.000971,0.003030,-0.119551,0.183902,-0.040949,61.2042989339,-146.9745915203,714.35080
CBIA ,23AUG02 ,2023.5838,60158,2273,3,-147.0,1365,0.947930,6788258,0.742703,714,0.341281,0.0000,0.000722,0.001079,0.003492,-0.129338,0.160337,-0.136723,61.2042989353,-146.9745915651,714.34128
CBIA ,23AUG03 ,2023.5866,60159,2273,4,-147.0,1365,0.947323,6788258,0.742068,714,0.344428,0.0000,0.000650,0.000985,0.003113,-0.108435,0.159494,-0.064858,61.2042989297,-146.9745915764,714.34443
CBIA ,23AUG04 ,2023.5893,60160,2273,5,-147.0,1365,0.947590,6788258,0.741685,714,0.344023,0.0000,0.000653,0.000987,0.003094,-0.109432,0.168323,-0.063352,61.2042989262,-146.9745915714,714.34402
CBIA ,23AUG05 ,2023.5921,60161,2273,6,-147.0,1365,0.947769,6788258,0.741729,714,0.345160,0.0000,0.000721,0.001050,0.003452,-0.127590,0.182626,-0.091175,61.2042989266,-146.9745915681,714.34516
CBIA ,23AUG06 ,2023.5948,60162,2274,0,-147.0,1365,0.949070,6788258,0.743973,714,0.349434,0.0000,0.000654,0.000960,0.003092,-0.102342,0.210205,-0.023163,61.2042989467,-146.9745915439,714.34943
CBIA ,23AUG07 ,2023.5975,60163,2274,1,-147.0,1365,0.948885,6788258,0.744679,714,0.346380,0.0000,0.000665,0.001001,0.003197,-0.081747,0.166639,-0.061192,61.2042989531,-146.9745915473,714.34638
CBIA ,23AUG08 ,2023.6003,60164,2274,2,-147.0,1365,0.946903,6788258,0.742120,714,0.349128,0.0000,0.000647,0.000968,0.003087,-0.094038,0.172816,-0.067311,61.2042989301,-146.9745915842,714.34913
CBIA ,23AUG09 ,2023.6030,60165,2274,3,-147.0,1365,0.949289,6788258,0.748065,714,0.350116,0.0000,0.000638,0.000970,0.003030,-0.105504,0.170320,-0.055900,61.2042989835,-146.9745915398,714.35012
CBIA ,23AUG10 ,2023.6057,60166,2274,4,-147.0,1365,0.948707,6788258,0.745664,714,0.352903,0.0000,0.000659,0.000990,0.003149,-0.082759,0.173721,-0.053137,61.2042989619,-146.9745915506,714.35290
CBIA ,23AUG11 ,2023.6085,60167,2274,5,-147.0,1365,0.947294,6788258,0.746015,714,0.354868,0.0000,0.000708,0.001025,0.003319,-0.101455,0.190103,-0.068413,61.2042989651,-146.9745915769,714.35487
CBIA ,23AUG12 ,2023.6112,60168,2274,6,-147.0,1365,0.946805,6788258,0.743982,714,0.352157,0.0000,0.000723,0.001057,0.003456,-0.097645,0.157930,-0.088525,61.2042989468,-146.9745915860,714.35216
