Date,MtE_SWE,MtE_SWE_QC,MtE_SDep,MtE_SDep_QC,MtE_P,MtE_P_QC,MtE_T,MtE_T_QC,MtE_P_Sadj,MtE_P_Sadj_QC,MtE_SDen,MtE_SDen_QC,UTR_SWE,UTR_SWE_QC,UTR_SDep,UTR_SDep_QC,UTR_P,UTR_P_QC,UTR_T,UTR_T_QC,UTR_P_Sadj,UTR_P_Sadj_QC,UTR_SDen,UTR_SDen_QC
1/1/2023,8.3,V,24,V,1.5,V,36,V,1.5,V,34.6,V,9.5,V,44,V,1.3,V,16,V,1.3,V,21.6,V
1/2/2023,8.3,V,23,V,0.5,V,34,V,0.5,V,36.1,V,10.5,V,54,E,0.2,E,28,V,0.2,E,19.4,E
1/3/2023,8.6,V,22,E,0,V,34,V,0,V,39.1,E,10.7,V,53,E,0,E,15,V,0,E,20.2,E
1/4/2023,8.6,V,25,V,0.7,V,34,V,0.9,V,34.4,V,10.7,V,51,V,0.3,E,15,V,0.3,E,21,V
1/5/2023,9.5,V,31,E,0.1,V,31,V,0.1,V,30.6,E,11,V,54,E,0.1,E,5,V,0.1,E,20.4,E
1/6/2023,9.6,V,29,V,0.1,V,28,V,0.1,V,33.1,V,11.1,V,52,V,0,E,-17,V,0,E,21.3,V
1/7/2023,9.6,E,30,V,0.1,V,31,V,0.1,V,32,E,11.1,V,51,E,0,E,-12,V,0,E,21.8,E
1/8/2023,9.7,V,30,E,1,V,35,V,1,V,32.3,E,11.1,V,51,V,0.1,E,7,V,0.1,E,21.8,V
1/9/2023,10.3,V,31,V,0,V,36,V,0,V,33.2,V,11.2,E,51,V,0,E,-10,V,0,E,22,E
1/10/2023,10.3,E,31,V,0,V,37,V,0,V,33.2,E,11.2,V,51,E,0,E,-5,V,0,E,22,E
1/11/2023,10.3,E,30,V,0.7,V,34,V,0.7,V,34.3,E,11.2,V,,,0.4,E,6,V,0.5,E,,
1/12/2023,11,V,37,V,0.1,V,36,V,0.1,V,29.7,V,11.7,E,54,E,0,E,5,V,0,E,21.7,E
1/13/2023,11.1,V,36,V,0,V,37,V,0,V,30.8,V,11.7,E,52,E,0,E,-8,V,0,E,22.5,E
1/14/2023,11.1,E,35,V,0.3,V,36,V,0.3,V,31.7,E,11.7,E,51,V,0.1,E,-1,V,0.1,E,22.9,E
1/15/2023,11.1,V,34,V,0.9,V,35,V,0.9,V,32.6,V,11.8,E,52,E,0,E,6,V,0,E,22.7,E
1/16/2023,11.2,V,32,V,0.6,V,33,V,0.6,V,35,V,11.8,V,51,V,0.1,E,9,V,0.1,E,23.1,V
1/17/2023,11.8,V,37,V,0,V,34,V,0,V,31.9,V,11.9,V,51,V,0,E,-3,V,0,E,23.3,V
1/18/2023,11.8,V,36,V,0.2,V,33,V,0.2,V,32.8,V,11.9,E,50,V,0.1,E,-1,V,0.1,E,23.8,E
1/19/2023,12,V,36,V,0.9,V,33,V,1.2,V,33.3,V,12,V,51,E,0.2,E,9,V,0.2,E,23.5,E
1/20/2023,13.2,V,41,V,1.1,V,37,V,1.1,V,32.2,V,12.2,V,52,E,0.1,E,19,V,0.2,E,23.5,E
1/21/2023,13.2,V,38,V,0,V,36,V,0,V,34.7,V,12.4,V,56,E,0,E,20,V,0,E,22.1,E
1/22/2023,13.1,V,38,V,0.5,V,34,V,0.7,V,34.5,V,12.4,V,54,V,0.1,E,19,V,0.1,E,23,V
1/23/2023,13.8,V,42,E,1.3,V,34,V,1.3,V,32.9,E,12.5,V,52,E,0.2,E,24,V,0.2,E,24,E
1/24/2023,14.8,V,43,E,0.7,V,35,V,0.7,V,34.4,E,12.7,V,56,V,0.2,V,32,V,0.2,V,22.7,V
1/25/2023,15.2,V,43,V,2.6,V,36,V,2.6,V,35.3,V,12.9,V,54,V,0.8,E,34,V,0.8,E,23.9,V
1/26/2023,14.8,V,40,V,0.1,V,34,V,0.1,V,37,V,13.7,V,58,V,0,E,34,V,0,E,23.6,V
1/27/2023,14.8,E,40,V,0.1,V,32,V,0.1,V,37,E,13.7,V,56,V,0,E,12,V,0,E,24.5,V
1/28/2023,14.8,V,40,V,0,V,33,V,0.1,V,37,V,13.7,E,55,V,0,E,13,V,0,E,24.9,E
1/29/2023,14.9,V,39,V,0.1,V,32,V,0.1,V,38.2,V,13.7,V,54,V,0,V,26,V,0,V,25.4,V
