Date,P_in,P2_in,T_Max_degF,T_Min_F,Snow_Depth_in,WindDir,WindSpeMax,WindSpeAvg,Pressure,Srad,DailyP1_in,DailyP2_in,DailySnow_in
1/1/2023,27.4,11.61,3.4,-2.8,40,152,14.4,0.1,952,0.95,0,0,0
1/2/2023,28.4,13.42,3.9,0.6,40,182,14.2,1.6,950,2.32,1,1.81,0
1/3/2023,28.7,13.69,1.7,0.6,39,183,4.3,0.5,966,4,0.3,0.27,0
1/4/2023,28.8,13.72,2.8,-3.3,39,183,9,0.8,967,5.82,0.1,0.03,0
1/5/2023,29,13.72,2.8,-1.7,40,190,8.9,0.4,972,2.14,0.2,0,1
1/6/2023,29.1,13.72,-1.1,-9.4,38,0,0,0,968,0.73,0.1,0,0
1/7/2023,29.2,13.72,-7.8,-12.8,40,0,0,0,973,1.07,0.1,0,2
1/8/2023,29.3,13.73,0.6,-12.8,39,170,17.8,2.2,967,1.43,0.1,0.01,0
1/9/2023,29.5,13.73,0,-5,42,167,13.8,0.6,972,2.13,0.2,0,3
1/10/2023,29.5,13.73,-4.4,-10,41,182,4.2,0.2,971,0.9,0,0,0
1/11/2023,29.5,13.73,-2.2,-5.5,37,183,3.3,0.8,969,1.67,0,0,0
1/12/2023,29.8,13.73,-1.1,-4.4,42,184,2.5,0.2,976,1.26,0.3,0,5
1/13/2023,29.9,13.73,-2.2,-7.8,43,179,2.2,0,971,1.43,0.1,0,1
1/14/2023,30,13.73,-5.5,-10,42,178,2.3,0,976,0.97,0.1,0,0
1/15/2023,30,13.73,-3.9,-10,42,180,3,0,973,0.87,0,0,0
1/16/2023,30.2,13.73,-1.7,-3.9,44,0,0,0,964,0.75,0.2,0,2
1/17/2023,30.3,13.73,-1.1,-3.3,42,173,0.4,0,958,0.89,0.1,0,0
1/18/2023,30.3,13.73,-1.1,-8.3,45,185,3.9,0.2,957,0.64,0,0,3
1/19/2023,30.4,13.73,-1.1,-9.4,45,180,6.1,0.9,965,1.08,0.1,0,0
1/20/2023,30.4,13.73,1.1,-3.3,45,161,8.2,0.5,967,3.66,0,0,0
1/21/2023,31.2,13.81,5.6,-1.7,51,175,12.6,0.9,958,0.97,0.8,0.08,6
1/22/2023,31.2,13.81,5,0.6,49,183,9.2,0.6,984,18.55,0,0,0
1/23/2023,31.3,13.82,0.6,-2.8,46,185,2.1,0,966,2.29,0.1,0.01,0
1/24/2023,32,13.82,0,-2.2,56,0,0,0,976,0.79,0.7,0,10
1/25/2023,32.5,14.28,1.7,0,53,178,8.1,0.7,979,1.25,0.5,0.46,0
1/26/2023,33.8,15.91,2.2,0,51,182,4.3,0.3,1000,3.07,1.3,1.63,0
1/27/2023,34,16.34,2.2,0,49,182,4.2,0.7,1014,14.06,0.2,0.43,0
1/28/2023,34,16.34,0.6,-4.4,48,187,5,1.5,1017,7.09,0,0,0
1/29/2023,34,16.34,1.7,-3.3,47,184,4.3,1,1019,18.2,0,0,0
1/30/2023,34.1,16.34,1.1,-1.7,45,187,2.1,0.2,1006,9.33,0.1,0,0
1/31/2023,34.3,16.35,1.1,-2.2,45,181,2.9,0.2,991,4.17,0.2,0.01,0
2/1/2023,34.3,16.35,-1.7,-5.5,45,184,5.8,1.8,986,1.54,0,0,0
2/2/2023,34.3,16.35,-1.7,-5.5,45,186,7,1.1,979,4.4,0,0,0
2/3/2023,34.6,16.35,-1.1,-3.9,48,178,1.8,0,977,1.99,0.3,0,3
2/4/2023,34.6,16.35,0,-3.9,48,0,0,0,980,2.44,0,0,0
