Read Me File,,,,,,,,,,,
Date,Snow_Depth_in,Delta_Snow Depth_in,P_in,Delta_P_in,T_Max_degF,Delta_T_Max_F,T_Min_F,Delta_T_Min_F,Srad,Delta_Srad,flag
2023-07-29,0,0,0,0,62,-3,53,0,166.9,-56,0
2023-07-30,0,0,0,0,68,6,53,0,315.3,148.4,0
2023-07-31,0,0,0,0,65,-3,54,1,158,-157.3,0
2023-08-01,0,0,0,0,66,1,54,0,215.9,57.9,0
2023-08-02,0,0,0,0,62,-4,54,0,119.8,-96.1,0
2023-08-03,0,0,0,0,66,4,55,1,231.9,112.1,0
2023-08-04,0,0,0,0,62,-4,54,-1,132.3,-99.6,0
2023-08-05,0,0,0,0,67,5,53,-1,206,73.7,0
2023-08-06,0,0,0.7,0.7,59,-8,53,0,74.7,-131.3,0
2023-08-07,0,0,0,-0.7,63,4,52,-1,159.6,84.9,0
2023-08-08,0,0,0.1,0.1,63,0,52,0,129.3,-30.3,0
2023-08-09,0,0,0.4,0.3,55,-8,52,0,92.9,-36.4,0
2023-08-10,0,0,0.1,-0.3,59,4,51,-1,103.7,10.8,0
2023-08-11,0,0,0.3,0.2,61,2,50,-1,143.3,39.6,0
2023-08-12,0,0,0.7,0.4,56,-5,49,-1,60.53,-82.77,0
2023-08-13,0,0,1.2,0.5,52,-4,49,0,49.75,-10.78,0
2023-08-14,0,0,0,-1.2,58,6,49,0,144.3,94.55,0
2023-08-15,0,0,0.6,0.6,54,-4,47,-2,76.96,-67.34,0
2023-08-16,0,0,0.7,0.1,52,-2,48,1,87.1,10.14,0
2023-08-17,0,0,0,-0.7,64,12,46,-2,266,178.9,0
2023-08-18,0,0,0,0,62,-2,47,1,212.6,-53.4,0
2023-08-19,0,0,0.1,0.1,59,-3,48,1,116.5,-96.1,0
2023-08-20,0,0,0,-0.1,63,4,47,-1,203.3,86.8,0
2023-08-21,0,0,0,0,63,0,48,1,254,50.7,0
2023-08-22,0,0,0,0,63,0,50,2,258.7,4.7,0
2023-08-23,0,0,0,0,59,-4,48,-2,105.1,-153.6,0
2023-08-24,0,0,1.6,1.6,55,-4,52,4,56.51,-48.59,0
2023-08-25,0,0,1,-0.6,54,-1,51,-1,57.03,0.52,0
2023-08-26,0,0,2.5,1.5,54,0,51,0,30.3,-26.73,0
2023-08-27,0,0,0.7,-1.8,55,1,52,1,34.13,3.83,0
2023-08-28,0,0,1.2,0.5,55,0,52,0,44.72,10.59,0
2023-08-29,0,0,1.7,0.5,58,3,52,0,49.03,4.31,0
2023-08-30,0,0,0.5,-1.2,54,-4,48,-4,62.38,13.35,0
2023-08-31,0,0,1.5,1,51,-3,47,-1,26.59,-35.79,0
2023-09-01,0,0,0.7,-0.8,53,2,48,1,33.39,6.8,0
2023-09-02,0,0,0.1,-0.6,60,7,44,-4,109.3,75.91,0
2023-09-03,0,0,0.3,0.2,48,-12,44,0,42.76,-66.54,0
