ReadMe File,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,10,,,,,15,,,,,
Date,ME_SWE,ME_SDep,ME_P,ME_Tavg,ME_Tmax,ME_Tmin,ME_SDen,ME_PSadj,ME_SPratio,ME_WDir,ME_WSavg,ME_WSmax,ME_SolRad,ME_flag,SLM_SDep,SLM_P,SLM_Tavg,SLM_Tmax,SLM_Tmin,SLM_WDir,SLM_WSavg,SLM_WSmax,SLM_SolRad,SLM_flag,UTR_SWE,UTR_SDep,UTR_P,UTR_Tavg,UTR_Tmax,UTR_Tmin,UTR_ SMmin,UTR_SMmid,UTR_SMmax,UTR_STmin,UTR_STmid,UTR_STmax,UTR_SDen,UTR_P_Sadj,UTR_SPratio,UTR_WDir,UTR_WSavg,UTR_WSmax,UTR_SolRad,UTR_flag
1/1/2023,8.3,24,1.5,35,36,33,34.6,1.5,0,107,10.4,31.5,2.07,,40,1,34,39,33,182,1.6,14.2,2.32,,9.5,44,1.3,16,28,7,22,13.3,16,31,32,32,21.6,1.3,77,nan,nan,nan,0.45,"16,17,18"
1/2/2023,8.3,23,0.5,33,35,32,36.1,0.5,60,107,8.1,29.5,4.85,,40,0.3,34,35,33,183,0.5,4.3,4,,10.5,54,0.2,28,32,25,21.6,13.4,15.8,31,32,32,19.4,0.2,100,nan,nan,nan,0.51,"16,17,18"
1/3/2023,8.6,22,0,33,37,30,39.1,0,nan,85,4.6,30.4,11.09,9,39,0.1,30,37,26,183,0.8,9,5.82,,10.7,53,0,15,27,4,21.6,13.3,15.6,31,32,32,20.2,0,nan,nan,nan,nan,0.43,"15,16,17,18"
1/4/2023,8.6,25,0.7,33,36,29,34.4,0.9,129,105,7.2,31.6,1.89,,39,0.2,32,37,29,190,0.4,8.9,2.14,,10.7,51,0.3,15,18,12,21.4,13.2,15.6,31,32,32,21,0.3,100,nan,nan,nan,0.41,"16,17,18"
1/5/2023,9.5,31,0.1,29,30,26,30.6,0.1,100,359,5.4,14.1,21.19,,40,0.1,21,30,15,0,0,0,0.73,,11,54,0.1,5,17,-14,21.3,13.2,15.4,31,32,32,20.4,0.1,100,nan,nan,nan,0.34,"16,17,18"
1/6/2023,9.6,29,0.1,26,29,23,33.1,0.1,0,353,3.3,13.4,26.5,,38,0.1,14,18,9,0,0,0,1.07,,11.1,52,0,-17,-7,-24,21.1,13.3,15.5,31,32,32,21.3,0,nan,nan,nan,nan,0.49,"15,16,17,18"
1/7/2023,9.6,30,0.1,29,35,25,32,0.1,100,6,2.8,17.1,10.09,,40,0.1,23,33,9,170,2.2,17.8,1.43,,11.1,51,0,-12,3,-25,21.1,12.8,15.3,31,32,32,21.8,0,nan,nan,nan,nan,0.55,"15,16,17,18"
1/8/2023,9.7,30,1,34,36,30,32.3,1,60,97,4,19,2.35,,39,0.2,25,32,23,167,0.6,13.8,2.13,,11.1,51,0.1,7,10,1,20.8,12.7,15.1,31,32,32,21.8,0.1,100,nan,nan,nan,0.52,"16,17,18"
1/9/2023,10.3,31,0,35,39,32,33.2,0,nan,62,1.1,6.9,34.21,9,42,0,19,24,14,182,0.2,4.2,0.9,,11.2,51,0,-10,9,-16,20.8,12.6,15,31,32,32,22,0,nan,nan,nan,nan,0.33,"15,16,17,18"
1/10/2023,10.3,31,0,36,39,34,33.2,0,nan,93,4.3,21.7,5.89,9,41,0,26,28,22,183,0.8,3.3,1.67,,11.2,51,0,-5,3,-12,20.3,12.6,15,31,32,32,22,0,nan,nan,nan,nan,0.38,"15,16,17,18"
1/11/2023,10.3,30,0.7,33,35,30,34.3,0.7,100,97,4.2,23.6,1.65,,37,0.3,27,30,24,184,0.2,2.5,1.26,,11.2,nan,0.4,6,11,0,20.4,12.4,14.7,31,32,32,nan,0.5,125,nan,nan,nan,0.65,"2,13,16,17,18"
1/12/2023,11,37,0.1,35,38,33,29.7,0.1,100,16,1.2,11.4,11.66,,42,0.1,25,28,18,179,0,2.2,1.43,,11.7,54,0,5,11,-6,20.3,12.5,14.8,31,32,32,21.7,0,nan,nan,nan,nan,0.84,"15,16,17,18"
1/13/2023,11.1,36,0,36,40,33,30.8,0,nan,62,1.2,9.6,8.14,9,43,0.1,19,22,14,178,0,2.3,0.97,,11.7,52,0,-8,-2,-13,20.2,12.3,14.4,31,32,32,22.5,0,nan,nan,nan,nan,0.5,"15,16,17,18"
1/14/2023,11.1,35,0.3,35,38,33,31.7,0.3,0,98,3.5,15.4,7.31,,42,0,23,25,14,180,0,3,0.87,,11.7,51,0.1,-1,5,-13,19.9,12.3,14.4,31,32,32,22.9,0.1,100,nan,nan,nan,0.59,"16,17,18"
1/15/2023,11.1,34,0.9,34,35,33,32.6,0.9,11,107,6.5,17.2,7.78,,42,0.2,27,29,25,0,0,0,0.75,,11.8,52,0,6,10,3,19.9,12,14.5,31,32,32,22.7,0,nan,nan,nan,nan,0.61,"15,16,17,18"
1/16/2023,11.2,32,0.6,32,34,30,35,0.6,100,106,4,20.8,6.9,,44,0.1,29,30,26,173,0,0.4,0.89,,11.8,51,0.1,9,11,3,19.9,12,14.4,31,32,32,23.1,0.1,100,nan,nan,nan,0.54,"16,17,18"
1/17/2023,11.8,37,0,33,37,29,31.9,0,nan,24,3.2,18.5,22.02,9,42,0,24,30,17,185,0.2,3.9,0.64,,11.9,51,0,-3,10,-15,19.5,11.8,14,31,32,32,23.3,0,nan,nan,nan,nan,0.41,"15,16,17,18"
1/18/2023,11.8,36,0.2,32,35,28,32.8,0.2,100,95,4.7,26.2,9.29,,45,0.1,23,30,15,180,0.9,6.1,1.08,,11.9,50,0.1,-1,7,-15,19.5,11.9,14.1,31,32,32,23.8,0.1,100,nan,nan,nan,0.8,"16,17,18"
1/19/2023,12,36,0.9,32,35,28,33.3,1.2,133,104,6.2,22,3.56,,45,0,29,34,26,161,0.5,8.2,3.66,,12,51,0.2,9,15,5,19.3,12,13.9,31,32,32,23.5,0.2,100,nan,nan,nan,0.86,"16,17,18"
1/20/2023,13.2,41,1.1,36,40,33,32.2,1.1,0,61,5.7,25.3,3.96,,45,0.8,33,42,29,175,0.9,12.6,0.97,,12.2,52,0.1,19,22,14,19.2,11.8,13.7,31,32,32,23.5,0.2,200,nan,nan,nan,0.71,"16,17,18"
1/21/2023,13.2,38,0,35,37,33,34.7,0,nan,343,3.1,13.5,12.26,9,51,0,37,41,33,183,0.6,9.2,18.55,,12.4,56,0,20,25,13,19,11.8,13.8,31,32,32,22.1,0,nan,nan,nan,nan,0.93,"15,16,17,18"
1/22/2023,13.1,38,0.5,33,36,30,34.5,0.7,140,99,4.7,24.4,6.92,,49,0.1,30,33,27,185,0,2.1,2.29,,12.4,54,0.1,19,24,14,19,11.8,13.5,31,32,32,23,0.1,100,nan,nan,nan,0.96,"16,17,18"
1/23/2023,13.8,42,1.3,33,34,32,32.9,1.3,77,106,8.3,22.9,0.76,,46,0.7,29,32,28,0,0,0,0.79,,12.5,52,0.2,24,36,13,18.7,11.5,13.6,31,32,32,24,0.2,100,nan,nan,nan,0.79,"16,17,18"
1/24/2023,14.8,43,0.7,34,37,33,34.4,0.7,57,107,8,24,12.19,,56,0.5,33,35,32,178,0.7,8.1,1.25,,12.7,56,0.2,32,35,28,18.4,11.3,13.4,31,32,32,22.7,0.2,100,nan,nan,nan,10.29,"16,17,18"
1/25/2023,15.2,43,2.6,35,36,33,35.3,2.6,0,109,8.7,30.1,8.36,,53,1.3,33,36,32,182,0.3,4.3,3.07,,12.9,54,0.8,34,39,30,18.3,11.3,13.5,31,32,32,23.9,0.8,100,nan,nan,nan,1.64,"16,17,18"
1/26/2023,14.8,40,0.1,33,34,33,37,0.1,0,87,4.4,16.8,17.84,,51,0.2,34,36,32,182,0.7,4.2,14.06,,13.7,58,0,34,37,23,18.1,11.4,13.4,31,32,32,23.6,0,nan,nan,nan,nan,20.99,"15,16,17,18"
1/27/2023,14.8,40,0.1,30,34,28,37,0.1,0,308,1.5,10.2,33.89,,49,0,27,33,24,187,1.5,5,7.09,,13.7,56,0,12,26,3,18.2,11.4,13.2,31,32,32,24.5,0,nan,nan,nan,nan,6.51,"15,16,17,18"
1/28/2023,14.8,40,0,32,35,30,37,0.1,nan,279,0.2,3.4,24.38,9,48,0,29,35,26,184,1,4.3,18.2,,13.7,55,0,13,21,5,18,11.2,13.3,31,32,32,24.9,0,nan,nan,nan,nan,19.07,"15,16,17,18"
1/29/2023,14.9,39,0.1,30,34,28,38.2,0.1,100,92,3,11.6,11.2,,47,0.1,30,34,29,187,0.2,2.1,9.33,,13.7,54,0,26,35,14,17.9,11,13.1,31,32,32,25.4,0,nan,nan,nan,nan,19.42,"15,16,17,18"
1/30/2023,15,38,0.3,33,33,30,39.5,0.3,100,98,1.4,10.9,7.57,,45,0.2,30,34,28,181,0.2,2.9,4.17,,13.7,54,0.1,29,34,21,17.6,11.3,13.1,31,32,32,25.4,0.1,100,nan,nan,nan,14.64,"16,17,18"
1/31/2023,15.3,41,0,33,40,30,37.3,0,nan,357,0.9,7.2,40.88,9,45,0,26,29,22,184,1.8,5.8,1.54,,13.8,53,0,22,27,13,17.5,11.1,13.1,31,32,32,26,0,nan,nan,nan,nan,10.79,"15,16,17,18"
